SMILES,Name,label,Ki(nM)
NC1=CC(C2=CC=C(OC)C=C2)=NO1,P01-A,0,NB
NC1=NC(C2=CC=C(N(C)C)C=C2)=CS1,P02-A,0,NB
O=C(C(C=NC(N1CCN(CC1)C2=CC=C(OC)C=C2)=N3)=C3N)NC4=CC=C(OC)C=C4,P03-M,0,44.78
O=C(NC1=NN=C(C2=CC=NC=C2)S1)C3=CC=C(OC)C=C3,P04-V,0,47.9
CN(C)C(C=C1)=CC2=C1N=C(S2)NC3=CN=C(OC)C=C3,P05-Z,0,257.6
CCC1=CC=C(C=C1)NC(NC2=CNC3=CC=CC=C23)=O,P06-A,0,NB
CC=1C=C(N2CC(O)CC2C=3C=CC(F)=CC3)N4N=CN=C4N1,P07-A,0,NB
Cc1nc(N(CC2)CCN2c2ncccc2)nc(CCC2)c1C2=O,P08-M,0,NB
CC(CN(CC1)C(Nc(cc2)ccc2C(C)=O)=O)N1c1ccc(C)cc1,P09-M,0,NB
C1(=NN=C(SCC(=O)NC2=CC=C3C(OCO3)=C2)N1C)C1C=COC=1C,P10-A,0,NB
C1CCN(C2=NC=C(C3N=C(C4CN5C(=CN=C5)CC4)ON=3)C=C2)CC1,P11-A,0,NB
[O-][N+](=O)C=1C=CC(=CC1)C(=O)NC2=NN=C(S2)C=3C=CN=CC3,P12-V,0,617
CC(C)NC=1C=CC(=CN1)C(=O)NC2=NN=C(S2)C=3C=CN=CC3,P13-V,0,104
O=C(NC1=NN=C(S1)C=2C=CN=CC2)C=3C=CC(SC4CC4)=CC3,P14-V,0,61.74
CC(C)C1=NC=2C=C(NC(=O)NC=3C=C(C=CN3)C(=O)N(C)C)C=CC2O1,P15-A,0,NB
CC(C)N1C=C(NC(=O)NC=2C=CC3=C(OCC3(C)C)C2)C=N1,P16-A,0,NB
ClC=1C=CN2N=C(NC(=O)NC=3C=NN(C3)C4CCCCC4)N=C2C1,P17-A,0,NB
CN(C)C1=CC2=CC=CC=C2N=C1NC3=CN=C(OC)C=C3,P18-Z,0,NB
O=C(C1=CC=C(C)C(C)=C1)NC(S2)=NN=C2C3=CC=NC=C3,P19-V,1,12.7
CC1=CC=C(C2=NOC(NC(C3=CC=C(OCCC)C=C3)=O)=C2)C=C1,P20-V,1,4.25
BrC1=CC=C(C2=NOC(NC(C3=CC=C(OC)C=C3)=O)=C2)C=C1,P21-V,1,16.62
CCN(CC)C=1C=CC(=CC1)C(=O)NC2=NN=C(S2)C=3C=CN=CC3,P22-V,1,4.605
CCOc(cc1)ccc1C(Nc1nnc(-c2ccncc2)s1)=O,P23-V,1,10.36
COC1=CC=C(N=C(N2CCN(C3=NC=CC=N3)CC2)S4)C4=C1,P24-A,0,30.524
CC1=CC=C(C2NC(SCC(NC3=CC4=C(C=CN4C)C=C3)=O)=NN=2)C=C1,P25-A,0,NB
CC(C1OC(C2=CC=CC=C2)=CN=1)NC(C(NC1=CC2=C(N=C(O2)C)C=C1)=O)=O,P26-A,0,NB
O=C(C1=CN=C(N=C1)N2CCN(CC2)C3=NC=CC=C3)NC4=CC=C(OC)C=C4,P27-M,1,6.77
BrC1=CC=C(C2=NOC(NC(C3=CC=CC(OCC)=C3)=O)=C2)C=C1,P28-V,1,9.87
CC1=NNC(=N1)C=2C=CC(NC(=O)C3=CC=4C=NC=CC4O3)=CC2,P29-A,1,9.414
COC1=CC=C(N=C(NC2=CC=C(OC)C=C2)C=C3)C3=C1,P30-Z,1,22.12
